Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Abbas.2005.blood.Immune:Normal cell:T_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	T cell	T_cell	T cell	"ARH, ASPM, BCL11B, C21orf45, CAMK4, CCDC5, CCNA2, CCNB1, CCNB2, CD3D, CD3E, CD3G, CD5, CD6, CD8A, CD8B1, CDC2, CDCA1, CDCA2, CDCA5, CPO, CTLA4, CXCR6, DGKA, DHX33, DKFZp761K1824, DNAJB1, DUFD1, DUSP2, EGLN3, EST, FLJ11029, FLJ20249, FTHFSDC1, GPR15, GZMK, H2AFX, HDGFRP3, HGFL, HMMR, HSPC150, ICOS, IL17F, IL22, IL9, INPP4B, KIF14, LAG3, LEF1, LEPROTL1, LRRN3, MELK, MGC15763, MGC3036, MGC5306, MKI67, NDFIP2, NDNL2, PAICS, PRC1, PRO2000, PTP, RRM1, SDP35, STK6, TCF7, TCRA, TOP2A, TPX2, TRIM, TSBF1, UBE2C, UBE2S, ZBED2, ZNRF1, ZWINT"	76	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:B_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	B cell	B_cell	B cell	"ALG5, AMPD1, AP1, B4GALT3, BAFFR, BANK1, BCL11A, BCMA, BCNP1, BLK, BLNK, BMP8B, BRDG1, C14orf138, C19orf10, C20orf31, C21orf83B, CD19, CD20, CD79A, CD79B, COPEB, CPNE5, CXCR5, DDOST, DKFZp667L0210, DTNB, EAF2, EIF2AK3, ELL2, ERN1, ERP70, EST, FBXO18, FCRH1, FCRH2, FKBP11, FLJ20202, FLJ22625, FLJ23235, FLJ31364, FLJ43842, FREB, GNG7, GPRC5D, HTPAP, IRTA2, KIAA0102, KIAA0125, KIAA0746, KIAA1384, LOC220213, LOC51061, LZTFL1, MAN1A1, MANEA, MGC15606, MTND6, NALP7, NGLY1, OSBPL10, PACAP, PAX5, PC4, PNOC, POU2AF1, QRSL1, RALGPS2, RPN1, SCFD1, SEC24A, SMCY, SPATS2, SPIB, SSR1, STCH, TCF3, TCL1A, TLOC1, TLR10, TRA1, TRAM1, TRAM2, TXNDC5, UBE2G1, UBE2J1, Ufm1, VIL2, VPREB3, WNT10A"	90	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Lymphocyte	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Lymphocyte	Lymphocyte	Lymphocyte	"ERI1, AIM2, ANXA2, ANP32E, AP1GBP1, APOBEC3A, ARL7, ARPC5L, ASXL1, ATM, BACH2, BATF, BCL11B, BHLHB2, BTLA, BTN3A2, BTN3A3, BUB3, C14orf61, C1orf33, C1QBP, C21orf106, C6orf129, CARD11, CBLB, CBX3, CCND2, CD160, CD2, CD3Z, CD69, CD7, CD96, CDC25B, CDK6, CDT1, CENPH, CGI-09, CHEK1, CHST12, CISH, CKS2, CPSF5, CRSP3, CTSW, DDX21, DEFA4, DKC1, DKFZP564O0463, DKFZp762C1112, DNAJC1, DUT, EDG8, EOMES, EPC1, EST, EVER1, EVER2, FAM29A, FANCD2, FBXO5, FCRH3, FEN1, FKSG14, FKSG79, FLJ12643, FLJ12994, FLJ20249, FLJ21438, FLJ22457, FLJ32255, FLJ36837, FLJ39739, FLJ39873, FUS, GITR, GLCCI1, GMPPB, GNG2, GNLY, GPR114, GPR18, GTPBP4, GZMA, GZMB, GZMH, GZMM, helios-3, HELLS, HGLF, hIAN2, HMGB1, IAN4L1, ICAM2, IFI16, IFNG, IL2RB, ITGB7, ITK, ITM1, ITPKB, KA6, KIAA0101, KIAA0379, KIAA1509, KIAA2010, KIF2C, KIR2DL1, KLF12, KLIP1, KLRB1, KLRC3, KLRC4, KLRD1, KLRG1, KSP37, LAP2, LCK, LFIO9330, LIF, LOC197135, LOC283989, LOC342616, LOC348235, LOC51320, LOC56854, LOC56902, LTA, LY9, LYAR, MAD2L1, MAP4K1, MCM10, MCM2, MCM6, MCM7, MCOLN1, MGAT2, MGC16044, MGC23244, MGC24001, MGC3067, MGC5244, MGC61571, MKI67IP, MYBL1, NCR3, NDFIP2, NFATC3, NK4, NKG7, NOD3, NOP5/NOP58, NUSAP1, P2RX5, PA2G4, PAICS, PAI-RBP1, PAPOLA, PASK, PC4, PCNA, PDK1, PHF19, PIM2, POLR1B, PPP1R2, PRDM2, PRF1, PRKCH, PRKCQ, PRKX, PRO2000, PRSS1, PTGDR, PTPN4, PTPN7, PTPRCAP, PTTG1, RACGAP1, RAMP, RASA2, RASGRP2, RFC4, RIOK1, RNF125, RORA, RPA3, RPIA, RRM2, SAMD3, SDF2L1, 01-Sep, 06-Sep, SFRS2, SH2D2A, SLC7A5, SMC2L1, SMC4L1, SNRPA1, SOS1, SP100, SP4, SSR1, STAT4, STIP1, SYNE2, T2BP, TAF4B, TBX21, TCF19, TCF3, TNFRSF7, TNFSF6, TOP2A, TOSO, TRA@, TRIPIN, TYMS, UHRF1, UNC84B, VLIG-1, WBSCR22, WDR4, XCL1, XCL2, ZAP70, ZBP1, ZC3HAV1, ZNF101, ZNF137, ZNF367, ZNFN1A3"	233	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Myeloid_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Myeloid cell	Myeloid_cell	Myeloid cell	"ABCC1, ABHD2, ABL2, ACP5, ADORA2A, AIF1, AMICA, AMID, AMPD3, AP2S1, APG7L, APOBEC3A, ARHG, ARHGAP18, ATP2B1, ATP6V1A, ATP6V1C1, BANP, BCL2A1, BCL6, BID, BIRC1, BLP1, BLVRA, C14orf109, C14orf58, C1orf24, C1orf38, C20orf139, C5R1, C6orf107, C9orf72, CAMK1D, CAPG, CCL19, CCL22, CD58, CD80, CD86, CDKN1A, CENTA2, CENTD2, CGI-109, CHI3L1, cig5, CKLF, CLECSF12, CLECSF6, CLECSF9, CLN8, COL4A3BP, COP1, CORO1C, CPM, CPVL, CREB5, CREG, CSF1R, CSF2RA, CSF3R, CSTA, CTSB, CTSZ, CYBB, CYP1B1, DAPP1, DCSTAMP, DDEF1, DDX41, DIRC2, DKFZP434H132, DKFZP566A1524, DOCK5, DPEP2, DPYD, DREV1, EBI3, ECGF1, EGFL5, EHD4, EMILIN2, EMR2, EST, ETV6, EZI, FAD104, FCAR, FCGR2A, FCN1, FEZ2, FGL2, FLJ00012, FLJ10116, FLJ10357, FLJ10702, FLJ10874, FLJ11151, FLJ11663, FLJ13052, FLJ14153, FLJ20481, FLJ20686, FLJ20847, FLJ22329, FLJ22368, FLJ22662, FLJ25348, FLJ31033, FLJ31413, FLJ31978, FLJ32028, FLJ32704, FLJ38725, FLJ40432, FLJ90005, FPR1, FPRL1, FPRL2, FRAT1, FYB, GARNL1, GCA, GLA, GM2A, GMFB, GNG10, GNRH1, GNS, GPR109B, GPR86, GRAF, GRINA, GSN, HCK, HK3, HLX1, HPSE, HSPA6, HSPC196, ICOSL, IFIT2, IFITM1, IFNGR1, IGSF6, IL12B, IL13RA1, IL15, IL17R, IL6R, IL8, INDO, INHBA, IRF5, ITGAX, ITGB8, KAB, KCNJ2, KCTD12, KIAA0346, KIAA0930, KIAA1363, KIAA1533, KIAA1546, KIAA1902, KYNU, LACTB, LAK, LAMP1, LILRA1, LILRB1, LILRB2, LILRB3, LIMS1, LITAF, LOC129607, LOC153222, LOC162073, LOC196463, LOC202908, LOC283431, LOC286088, LOC339493, LOC339745, LOC55580, LOC91947, LOC92162, LRP10, LST1, LTB4R, LYN, MAFB, MAFF, MAP3K4, MARCKS, MBD6, MCL1, MGC20700, MGC24133, MGC33602, MGC45731, MGC4796, MGC5618, MGC7036, MGC9726, MMPL1, MNDA, MS4A6A, MS4A7, MSC, MSCP, NAGA, NAGK, NALP12, NAV1, NCE2, NCF2, NCK1, NEK6, NFAM1, NFE2, NINJ1, NPL, NRBF-2, NRP1, NRP2, NSMAF, NUMB, NUP214, OAZ2, OGFRL1, OSBPL11, P2RX7, PBEF, PBEF1, PDCD1LG1, PEP1, PFC, PGD, PHCA, PI4KII, PICALM, PILRA, PISD, PITPN, PLA2G7, PLEKHB2, PLXDC2, PP2135, PPM1F, PPT1, PTAFR, PTEN, PTGS2, PTPRE, PTPRO, RAB10, RARA, RASAL2, RASGRP4, RASSF2, RASSF3, RASSF4, RDX, REL, RGS18, RIPK2, RIT1, RLG, RNASE2, RNF13, RNF149, RNF24, RPS27L, RRAGC, S100A12, S100A9, SART2, SCA1, SCAP2, SCO2, SGKL, SGPP2, SIAT4A, SLAMF8, SLC11A1, SLC11A2, SLC15A3, SLC16A3, SLC2A6, SLC31A2, SLC36A4, SLC38A6, SLC6A6, SLC7A11, SNX11, SOAT1, SOD2, SPI1, SPRED1, STAB1, STXBP2, SYT11, TACE, TALDO1, TA-NFKBH, TBXAS1, TFEC, TGFBI, TIMP2, TLR1, TLR2, TLR4, TLR8, TMG4, TNFAIP2, TNFAIP6, TNFRSF19L, TNFRSF5, TNFSF13B, TNIP1, TRAF1, TREM1, TREM2, TRIP8, TXNRD1, U2AF1L2, UBE2D1, UGCG, UNC93B1, USP15, WDFY1, WNT5A, WTAP, ZDHHC18, ZFHX1B, ZNF147, ZNF620"	337	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Dendritic_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Dendritic cell	Dendritic_cell	Dendritic cell	"a1/3GTP, ABTB2, ADAM12, ALOX15, CBR3, CCL13, CCL17, CD1A, CD1B, CD1E, CD86, CG018, CHST7, CLECSF13, CLIC2, CNOT10, CRLF2, CXCL11, DCNP1, EHD4, EST, FLJ13089, FLJ23230, FLJ35936, FLJ40614, FLN29, FNBP2, FSCN1, G1P3, GRSF1, H6PD, HLA-DQ-alpha, HLA-DRB3, HLA-DRB4, HMG20B, HMOX1, HOZFP, IFIT1, KIAA1404, Lectin, LOC253782, LOC284018, LOC93082, MDA5, MDS010, MGC20700, MMP12, MOB4A, MX1, NAGPA, NR4A3, NT5C3, NUP62, NYREN18, OAS1, OATPRP4, PDL2, PLDN, PVRL2, RAB30, RAB9A, RASSF4, RhoGAP2, SLC27A3, SN, SPRED2, TBC1D13, TTYH2, UBD, USP18"	70	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Monocyte	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Monocyte	Monocyte	Monocyte	"AFURS1, AP1S2, BHLHB3, C21orf42, CASP1, CCL24, CCRL2, CD1D, CDK5RAP2, CLECSF5, CSPG2, CTSD, CTSL, CXCL1, CXCL3, CXCL5, CYBB, DDEF1, DFNA5, DTR, DUSP6, EREG, EST, FLJ20273, FLJ20701, GJB2, GNA15, GPR84, HS3ST3B1, IER3, IL19, IL1A, IL1B, IL1F9, IL1RN, IL24, IL3RA, IL6, INPP5B, IPLA2(GAMMA), IRAK2, LRRFIP1, MGC26226, MMP1, MMP14, MMP19, MMP9, MPEG1, MS4A6A, MTF1, NPC1, NRIP3, OK/KNS-CL.4, PFKFB3, PLAUR, PLD1, PLD3, PPBP, PPIF, PRAM-1, PTX3, RNU2, RPEL1, SERPINB2, SERPINB7, SERPINB9, SGPP2, SLC28A3, SLC31A1, SLC3A2, SNX9, SRC, TCIRG1, TFPI2, TIEG, TMEFF1, TncRNA, TNF-gamma; VEG1, ZFHX1B, ZFYVE16, ZP3"	81	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:NK_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Natural killer cell	NK_cell	Natural killer cell	"CD244, CHST12, CLIC3, IVNS1ABP, KIR2DL1, KIR2DL2, KIR2DL4, KIR2DS2, KIR2DS5, KIR3DL1, KIR3DL2, KIR3DS1, KLRF1, NS1-BP, PTGDR, TGFBR1, YPEL1"	17	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Neutrophil	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Neutrophil	Neutrophil	Neutrophil	"ABTB1, AMPD2, C5orf6, CCR3, CDA, CKLFSF2, CLC, CREB5, CTBS, DcR1, EST, FCGR2B, FCGR3B, FLJ10298, FPRL1, FRAT2, GPR27, GPR43, HSPA6, IL8RA, IL8RB, KIAA0779, KIAA1126, KRT23, LENG4, LENG5, MAD, MGC10500, MGC14126, MGC16353, MPPE1, MSCP, NCF4, NRBF-2, PHC2, PROK2, RALB, RNF141, SEC14L1, SEPX1, STX3A, TM4-B, VMP1, VNN2, XPO6"	45	15789058	2005	Bulk	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:cCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	cCAF	Cycling CAF	"CCNA2, CEP55, MKI67, NUF2, TOP2A"	5	30514914	2018	Single-cell	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:dCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	dCAF	Developmental CAF	"SCRG1, PDGFC, CITED4, COL4A6, COL4A5, SOX9, MIA, MIA-RAB4B, SOX10, COMP, GATA3, SPINT2, CLU, IL17B, SMOC1, CHAD, COL9A2, COL9A1, S100B, ITGA6"	20	30514914	2018	Single-cell	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:mCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	mCAF	Matrix CAF	"MAFB, WNT11, AEBP1, FBLN1, OMD, SVEP1, CILP, EGR2, FBLN2, DCN, MFAP4, IGF1, SMOC2, LUM, MFAP5, VEGFC, BHLHE41, LOX, CXCL14, VCAN, LOXL1, CRABP1, CREG1, CREB3L1"	24	30514914	2018	Single-cell	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:vCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	vCAF	Vascular CAF	"PDGFA, EPAS1, SPARCL1, KCNJ8, CD248, NID2, ITGA1, RBPMS, ANGPTL2, COL5A3, IL34, DES, MCAM, PDLIM1, MEOX2, COL4A2, NOTCH3, COL18A1, VTN, PDGFRB, COL4A1, ESAM, MEF2C, NR2F2"	24	30514914	2018	Single-cell	scTyper sigDB
Bindea.2013.CRC:Normal cell:Mucosa	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Normal cell	non-Immune	Mucosa	Mucosa	Normal mucosa	"TSPAN8, LGALS4, DCN, COL3A1, COL3A1, CEACAM5, TAGLN, KRT20, DCN, MYH11, FXYD3, ACTG2, MYLK, TPM1, CDH17, NFIB, MGP, SPARCL1, RGS5, MYH11, PPAP2B, COL3A1, IGFBP7, PPAP2B, CALD1, C1R, CALD1, AGR2, GNA11, HEPH, GNA11, GNG12, ADH1B, TPM1, CRIM1, FBLN1, IGFBP5, LAMA4, CAV1, WASL, CDH5, PDPN, VEGFC, FIGF"	44	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell	T_cell	T cell	"PRKCQ, CD3D, CD3G, CD28, LCK, TRAT1, PRKCQ, BCL11B, CD2, LCK, TRBC1, TRBC1, TRA@, ITM2A, SH2D1A, CD6, CD96, NCALD, GIMAP5, TRA@, CD3E, SKAP1, TRA@, TRA@"	24	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:B_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	B cell	B_cell	B cell	"MS4A1, TCL1A, MS4A1, TCL1A, HLA-DOB, PNOC, KIAA0125, CD19, CR2, IGHG1, FCRL2, BLK, IGHG1, COCH, OSBPL10, IGHA1, TNFRSF17, ABCB4, BLNK, GLDC, MEF2C, MEF2C, IGHM, FAM30A, SPIB, BCL11A, GNG7, IGKC, CD72, MICAL3, BCL11A, BACH2, IGL@, CCR9, QRSL1, DTNB, HLA-DQA1, SCN3A, QRSL1, SLC15A2"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Lymph_vessel	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Lymph vessel	Lymph_vessel	Lymph vessel (thin-walled vessels (tubes) that carry lymph)	"PDPN, VEGFC, FIGF"	3	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Blood_vessele	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Blood_vessele	Blood_vessele	Blood vessele	CDH5	1	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Dendritic_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Dendritic cell	Dendritic_cell	Dendritic cell	"CD209, CCL17, HSD11B1, CCL13, CCL22, PPFIBP2, NPR1"	7	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Eosinophil	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Eosinophil	Eosinophil	Eosinophil	"IL5RA, KCNH2, TKTL1, IL5RA, EMR1, KCNH2, CCR3, ACACB, THBS1, GALC, TKTL1, RNU2, CLC, THBS1, HIST1H1C, CYSLTR2, HRH4, RNASE2, CAT, LRP5L, SYNJ1, SYNJ1, THBS4, GPR44, KBTBD11, HES1, ABHD2, TIPARP, SMPD3, MYO15B, TGIF1, RRP12, ACACB, IGSF2, HES1, RCOR3, EPN2, C9orf156, SIAH1, ACACB"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Macrophage	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Macrophage	Macrophage	Macrophage	"MARCO, CXCL5, SCG5, SULT1C2, SULT1C2, MSR1, CTSK, PTGDS, COLEC12, GPC4, MSR1, PCOLCE2, CHIT1, PTGDS, KAL1, CLEC5A, GPC4, ME1, DNASE2B, CCL7, FN1, CD163, GM2A, SCARB2, BCAT1, BCAT1, RAI14, MSR1, COL8A2, CD163, APOE, CHI3L1, ATG7, CD84, FDX1, MS4A4A, SGMS1, EMP1, CYBB, CD68, PRG2, CTSG, TPSAB1, SLC18A2, TPSAB1, MS4A2, CPA3, TPSB2, TPSAB1, NM_003293, TPSAB1, MS4A2, TPSAB1, GATA2, HDC, LOH11CR2A, SIGLEC6, ELA2, LOH11CR2A, CMA1, SIGLEC6, PGDS, MLPH, ADCYAP1, SIGLEC6, SLC24A3, CALB2, SLC24A3, KIT, TAL1, ABCC4, PPM1H, MAOB, HPGD, SCG2, PTGS1, CEACAM8, MPO, NR0B1, LOC339524, CSF3R, CYP4F3, VNN3, FPRL1, KCNJ15, MME, IL8RA, IL8RB, MME, FCGR3B, DYSF, KCNJ15, FCAR, FCAR, CEACAM3, FPRL1, HIST1H2BC, HPSE, FLJ11151, CREB5, S100A12, FCGR3B, TNFRSF10C, SLC22A4, KIAA0329, SLC25A37, BST1, FCAR, CEACAM3, CRISPLD2, TNFRSF10C, G0S2, SIGLEC5, CD93, MGAM, ALPL, FPR1, CD93, PDE4B, LILRB2, KRT5, RBP1, TRIM29, DEFA5, BMP4, EEF1A2, VSNL1, ASPSCR1, IGF2, MFAP2, FGF3, S100A2, INHBB, JAG2, LOC89944, BAMBI, JAG2, BMP7, RPP25, RHOD, DHRS2, ITGB4, NTSR1, STRA6, SLC1A5, VSNL1, FKBP4, S100A3, TEAD4, KLK6, CCND1, SLC27A5, HOXA9, F12, LRFN4, NM_024609, SLC6A8, PCTK1, SLC6A8, KRT13, TSPAN8, LGALS4, DCN, COL3A1, COL3A1, CEACAM5, TAGLN, KRT20, DCN, MYH11, FXYD3, ACTG2, MYLK, TPM1, CDH17, NFIB, MGP, SPARCL1, RGS5, MYH11, PPAP2B, COL3A1, IGFBP7, PPAP2B, CALD1, C1R, CALD1, AGR2, GNA11, HEPH, GNA11, GNG12, ADH1B, TPM1, CRIM1, FBLN1, IGFBP5, LAMA4, CAV1, WASL, CDH5, PDPN, VEGFC, FIGF"	204	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Mast_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Mast cell	Mast_cell	Mast cell	"PRG2, CTSG, TPSAB1, SLC18A2, TPSAB1, MS4A2, CPA3, TPSB2, TPSAB1, NM_003293, TPSAB1, MS4A2, TPSAB1, GATA2, HDC, LOH11CR2A, SIGLEC6, ELA2, LOH11CR2A, CMA1, SIGLEC6, PGDS, MLPH, ADCYAP1, SIGLEC6, SLC24A3, CALB2, SLC24A3, KIT, TAL1, ABCC4, PPM1H, MAOB, HPGD, SCG2, PTGS1, CEACAM8, MPO, NR0B1, LOC339524"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Natural_killer_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Natural killer cell	Natural_killer_cell	Natural_killer_cell	"LOC643313, GAGE2, ZNF747, XCL1, XCL2, AF107846, SLC30A5, NM_014114, MCM3AP, TBXA2R, CDC5L, LOC730096, FUT5, FGF18, MRC2, RP5-886K2.1, SPN, PSMD4, PRX, FZR1, ZNF205, AL080130, ZNF528, MAPRE3, BCL2, NM_017616, ARL6IP2, SPN, FZR1, PDLIM4, NM_014274, LDB3, ADARB1, SMEK1, TCTN2, TINAGL1, IGFBP5, ALDH1B1, NCR1, NCR1, NCR1"	41	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Neutrophil	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Neutrophil	Neutrophil	Neutrophil	"CSF3R, CYP4F3, VNN3, FPRL1, KCNJ15, MME, IL8RA, IL8RB, MME, FCGR3B, DYSF, KCNJ15, FCAR, FCAR, CEACAM3, FPRL1, HIST1H2BC, HPSE, FLJ11151, CREB5, S100A12, FCGR3B, TNFRSF10C, SLC22A4, KIAA0329, SLC25A37, BST1, FCAR, CEACAM3, CRISPLD2, TNFRSF10C, G0S2, SIGLEC5, CD93, MGAM, ALPL, FPR1, CD93, PDE4B, LILRB2"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Malignant_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	non-Immune	Malignant cell	Malignant_cell	Colorectal cancer cells (SW480 cell line)	"KRT5, RBP1, TRIM29, DEFA5, BMP4, EEF1A2, VSNL1, ASPSCR1, IGF2, MFAP2, FGF3, S100A2, INHBB, JAG2, LOC89944, BAMBI, JAG2, BMP7, RPP25, RHOD, DHRS2, ITGB4, NTSR1, STRA6, SLC1A5, VSNL1, FKBP4, S100A3, TEAD4, KLK6, CCND1, SLC27A5, HOXA9, F12, LRFN4, NM_024609, SLC6A8, PCTK1, SLC6A8, KRT13"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:CD8_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	CD8_T_cell	CD8+ T cell	"CD8B, CD8A, CD8B, PF4, PRR5, SF1, LIME1, DNAJB1, ARHGAP8, GZMM, SLC16A7, SFRS7, APBA2, C4orf15, LEPROTL1, ZFP36L2, GADD45A, ZFP36L2, MYST3, ZEB1, ZNF609, C12orf47, THUMPD1, VAMP2, ZNF91, ZNF22, TMC6, DNAJB1, FLT3LG, CDKN2AIP, TSC22D3, TBCC, RBM3, ABT1, C19orf6, CAMLG, PPP1R2, AES, KLF9, PRF1"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Cytotoxic_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Cytotoxic_T_cell	Cytotoxic T cell	"KLRD1, KLRF1, GNLY, GNLY, CTSW, KLRB1, KLRD1, KLRK1, NKG7, GZMH, KLRD1, SIGIRR, ZBTB16, RUNX3, APOL3, RORA, APBA2, SIGIRR, WHDC1L1, DUSP2, GZMA"	21	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:T_helper_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	T_helper_cell	T helper cell	"ICOS, LRBA, ITM2A, FAM111A, PHF10, NUP107, SEC24C, NAP1L4, BATF, ASF1A, FRYL, FUSIP1, TRA@, TRA@, RPA1, UBE2L3, ANP32B, DDX50, C13orf34, PPP2R5C, SLC25A12, ATF2, CD28, GOLGA8A"	24	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Central_memory_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Central_memory_T_cell	Central memory T cell	"CDC14A, ATM, USP9Y, PCNX, ATM, FOXP1, KLF12, ST3GAL1, INPP4B, CASP8, MLL, PCM1, RP11-74E24.2, PHC3, NFATC3, LOC202134, TIMM8A, ATF7IP, REPS1, PSPC1, RPP38, HNRPH1, STX16, CYLD, SNRPN, TRAF3IP3, NEFL, POLR2J2, AQP3, CG030, PDXDC2, CLUAP1, DOCK9, CYorf15B, CREBZF, CEP68, TXK, SLC7A6, FYB, MAP3K1"	40	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Effector_memory_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Effector_memory_T_cell	Effector memory T cell	"TRA, PRKY, VIL2, GDPD5, CCR2, MEFV, C7orf54, FLI1, TBC1D5, DDX17, AKT3, EWSR1, TBCD, CCR2, NFATC4, LTK"	16	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Follicular_helper_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Follicular_helper_T_cell	Follicular helper (Tfh) T cell	"CHI3L2, CXCL13, MYO7A, CHGB, MYO7A, ICA1, HEY1, CDK5R1, ST8SIA1, PDCD1, BLR1, KIAA1324, PVALB, ICA1, TSHR, C18orf1, HEY1, TOX, BLR1, SLC7A10, SMAD1, POMT1, PASK, MKL2, PTPN13, PASK, KCNK5, C18orf1, ZNF764, MAF, MYO6, SIRPG, THADA, THADA, MAGEH1, B3GAT1, MAF, SH3TC1, HIST1H4K, STK39"	40	24138885	2013	Bulk	scTyper sigDB
